ANO,ANO_INGRESSO,ANO_NASC,ATINGIU_PV,ATIVO_INATIVO,AVALIADOR_1,AVALIADOR_2,AVALIADOR_3,AVALIADOR_4,AVALIADOR_5,AVALIADOR_6,CF,CG,CT,DEFAS,DESTAQUE_IDA,DESTAQUE_IEG,DESTAQUE_IPV,ESCOLA,FASE,FASE_IDEAL,GENERO,IAA,IAN,IDA,IDADE,IEG,INDE_22,INDE_23,INDE_24,INDICADO,INGLES,INST_ENSINO,IPP,IPS,IPV,MATEM,NOME,N_AV,PEDRA_20,PEDRA_21,PEDRA_22,PEDRA_23,PEDRA_24,PORTUG,RA,REC_AV1,REC_AV2,REC_AV3,REC_AV4,REC_PSICOLOGIA,TURMA,RISCO,INDE_ATUAL,FAIXA_DEFASAGEM,TEMPO_PM
2022,2016,2003,Não,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,18.0,753.0,10.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menina,8.3,5.0,4.0,19.0,4.1,5.783,,,Sim,6.0,Escola Pública,,5.6,7.278,2.7,Aluno-1,4.0,Ametista,Ametista,Quartzo,,,3.5,RA-1,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Requer avaliação,A,1,5.783,Moderada,6
2022,2017,2005,Não,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,8.0,469.0,3.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Menina,8.8,10.0,6.8,17.0,5.2,7.055,,,Não,9.7,Rede Decisão,,6.3,6.778,6.3,Aluno-2,4.0,Ametista,Ametista,Ametista,,,4.5,RA-2,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Sem limitações,A,0,7.055,Adequada/Adiantada,5
2022,2016,2005,Não,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,13.0,629.0,6.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Menina,0.0,10.0,5.6,17.0,7.9,6.591,,,Não,6.9,Rede Decisão,,5.6,7.556,5.8,Aluno-3,4.0,Ametista,Ametista,Ágata,,,4.0,RA-3,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,A,0,6.591,Adequada/Adiantada,6
2022,2017,2005,Não,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,15.0,731.0,7.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Menino,8.8,10.0,5.0,17.0,4.5,5.951,,,Não,8.7,Rede Decisão,,5.6,5.278,2.8,Aluno-4,4.0,Ametista,Ametista,Quartzo,,,3.5,RA-4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Requer avaliação,A,0,5.951,Adequada/Adiantada,5
2022,2016,2005,Não,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,6.0,344.0,2.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Menina,7.9,10.0,5.2,17.0,8.6,7.427,,,Não,5.7,Rede Decisão,,5.6,7.389,7.0,Aluno-5,4.0,Ametista,Ametista,Ametista,,,2.9,RA-5,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Requer avaliação,A,0,7.427,Adequada/Adiantada,6
2022,2021,2004,Não,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,16.0,745.0,8.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menina,7.9,5.0,3.3,18.0,4.5,5.848,,,Sim,2.3,Escola Pública,,7.5,7.222,2.3,Aluno-6,4.0,,Ágata,Quartzo,,,5.3,RA-6,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sem limitações,A,1,5.848,Moderada,1
2022,2017,2004,Não,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,11.0,550.0,5.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menino,0.0,5.0,7.6,18.0,8.4,6.818,,,Não,9.0,Rede Decisão,,7.5,7.667,8.2,Aluno-7,4.0,Ametista,Ametista,Ágata,,,5.7,RA-7,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sem limitações,A,1,6.818,Moderada,5
2022,2018,2002,Não,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,21.0,836.0,13.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menina,7.1,5.0,1.6,20.0,4.6,4.786,,,Não,2.9,Escola Pública,,6.3,6.278,1.2,Aluno-8,4.0,Quartzo,Ágata,Quartzo,,,0.7,RA-8,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Requer avaliação,A,1,4.786,Moderada,4
2022,2019,2004,Sim,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,1.0,113.0,1.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menina,8.8,5.0,6.7,18.0,9.5,8.109,,,Sim,8.7,Escola Pública,,7.5,9.5,5.5,Aluno-9,4.0,Ametista,Ametista,Topázio,,,6.0,RA-9,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Sem limitações,A,1,8.109,Moderada,3
2022,2021,2004,Não,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,17.0,752.0,9.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menina,8.3,5.0,4.1,18.0,5.2,5.784,,,Não,6.4,Escola Pública,,5.0,7.056,3.3,Aluno-10,4.0,,Ágata,Quartzo,,,2.6,RA-10,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Requer avaliação,A,1,5.784,Moderada,1
2022,2016,2004,Não,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,19.0,799.0,11.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menina,9.2,5.0,3.0,18.0,4.2,5.323,,,Não,4.5,Escola Pública,,5.0,6.389,1.8,Aluno-11,4.0,Quartzo,Ágata,Quartzo,,,2.5,RA-11,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Requer avaliação,A,1,5.323,Moderada,6
2022,2020,2005,Não,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,20.0,834.0,12.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Menina,0.0,10.0,1.5,17.0,4.0,4.832,,,Sim,0.7,Escola Pública,,6.9,6.389,2.7,Aluno-12,4.0,Ágata,Ágata,Quartzo,,,1.1,RA-12,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Sem limitações,A,0,4.832,Adequada/Adiantada,2
2022,2016,2004,Não,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,10.0,524.0,4.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menino,7.9,5.0,4.7,18.0,7.4,6.902,,,Sim,5.2,Escola Pública,,7.5,8.056,3.5,Aluno-13,4.0,Ametista,Ametista,Ágata,,,5.5,RA-13,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sem limitações,A,1,6.902,Moderada,6
2022,2022,2001,Não,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,12.0,558.0,7.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menino,7.9,5.0,4.0,21.0,8.3,6.793,,,Sim,,Escola Pública,,7.5,7.75,8.0,Aluno-14,4.0,,,Ágata,,,0.0,RA-14,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não atendido,D,1,6.793,Moderada,0
2022,2022,2004,Não,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,3.0,207.0,2.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menino,8.8,5.0,7.3,18.0,10.0,7.783,,,Sim,,Escola Pública,,7.5,7.292,8.0,Aluno-15,4.0,,,Ametista,,,6.5,RA-15,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Não atendido,D,1,7.783,Moderada,0
2022,2022,2003,Não,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,14.0,706.0,8.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menino,7.9,5.0,3.5,19.0,8.3,6.112,,,Sim,,Escola Pública,,5.0,6.333,7.0,Aluno-16,4.0,,,Ágata,,,0.0,RA-16,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Requer avaliação,D,1,6.112,Moderada,0
2022,2022,2002,Não,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,2.0,125.0,1.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menino,8.8,5.0,7.8,20.0,10.0,8.068,,,Sim,,Escola Pública,,7.5,8.292,9.0,Aluno-17,4.0,,,Topázio,,,6.5,RA-17,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Não atendido,D,1,8.068,Moderada,0
2022,2022,2003,Não,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,7.0,418.0,5.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menino,6.3,5.0,9.0,19.0,8.7,7.226,,,Sim,,Escola Pública,,6.3,6.875,9.0,Aluno-18,4.0,,,Ametista,,,9.0,RA-18,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Requer avaliação,D,1,7.226,Moderada,0
2022,2022,2003,Não,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,4.0,248.0,3.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menina,7.9,5.0,8.0,19.0,9.5,7.665,,,Sim,,Escola Pública,,7.5,7.0,7.0,Aluno-19,4.0,,,Ametista,,,9.0,RA-19,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Sem limitações,D,1,7.665,Moderada,0
2022,2022,2003,Não,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,5.0,296.0,4.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menina,7.1,5.0,7.8,19.0,10.0,7.535,,,Sim,,Escola Pública,,6.3,7.167,9.0,Aluno-20,4.0,,,Ametista,,,6.5,RA-20,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Não atendido,D,1,7.535,Moderada,0
2022,2022,2004,Não,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,9.0,508.0,6.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Menino,9.6,5.0,3.8,18.0,9.2,6.945,,,Sim,,Escola Pública,,7.5,7.25,7.0,Aluno-21,4.0,,,Ágata,,,0.5,RA-21,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não atendido,D,1,6.945,Moderada,0
2022,2019,2005,Sim,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,10.0,327.0,10.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Menina,8.3,5.0,6.7,17.0,7.4,7.474,,,Não,7.8,Rede Decisão,,8.1,8.833,9.0,Aluno-22,4.0,Ametista,Ágata,Ametista,,,3.1,RA-22,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase,Sem limitações,A,1,7.474,Moderada,3
2022,2021,2005,Sim,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,8.0,243.0,8.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Menino,8.3,5.0,6.7,17.0,8.2,7.677,,,Sim,8.2,Escola Pública,,8.1,8.556,7.2,Aluno-23,4.0,,Ametista,Ametista,,,4.7,RA-23,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,A,1,7.677,Moderada,1
2022,2021,2005,Sim,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,5.0,119.0,5.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Menina,9.2,5.0,8.6,17.0,7.9,8.087,,,Não,9.7,Rede Decisão,,6.9,9.111,10.0,Aluno-24,4.0,,Topázio,Topázio,,,6.3,RA-24,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Requer avaliação,A,1,8.087,Moderada,1
2022,2021,2005,Sim,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,6.0,147.0,6.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Menina,8.3,5.0,6.9,17.0,8.3,7.979,,,Sim,7.7,Escola Pública,,8.8,9.667,9.2,Aluno-25,4.0,,Topázio,Ametista,,,3.8,RA-25,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Sem limitações,A,1,7.979,Moderada,1
